baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,y
314.6353482,-6.635205976,1.082261672,-6.130870332,8.74E-10,4.82E-09,0
182.0707804,-3.975852196,0.632176005,-6.289153911,3.19E-10,1.86E-09,0
12.46046154,2.701602353,0.392280895,6.886907796,5.70E-12,4.13E-11,0
27.48077103,-2.846851375,0.596323007,-4.774008958,1.81E-06,6.41E-06,0
2586.017815,1.261621813,0.125477817,10.05454066,8.77E-24,1.94E-22,0
18.81473779,7.069860108,1.577855202,4.480677378,7.44E-06,2.40E-05,0
14.43831601,-3.872973048,1.058422644,-3.659193302,0.00025301,0.00063473,0
8.740680296,-1.819209867,0.435171411,-4.180444349,2.91E-05,8.54E-05,0
263.0349963,-3.507931345,0.579615096,-6.052173886,1.43E-09,7.66E-09,0
224.5204561,-8.305787241,0.401770891,-20.67294426,6.07E-95,3.58E-92,0
13.90642957,-2.969595408,0.411131167,-7.222987814,5.09E-13,4.17E-12,0
1140.441169,-1.505426771,0.19753922,-7.620900662,2.52E-14,2.41E-13,0
102.8424081,-6.025217132,0.354371501,-17.00254426,7.86E-65,1.54E-62,0
35.87366367,-5.467813504,0.785068849,-6.964756667,3.29E-12,2.45E-11,0
817.3209748,0.941990739,0.218897905,4.303333745,1.68E-05,5.13E-05,0
24.24669321,-3.722123245,1.272324726,-2.925450689,0.003439577,0.00700295,0
6.00528126,-3.813756248,0.437687203,-8.713428735,2.95E-18,4.17E-17,0
48.01843467,2.082081237,0.81021633,2.569784341,0.010176184,0.018822374,0
84.79722552,-3.218261025,0.528864856,-6.085223828,1.16E-09,6.31E-09,0
46.6776466,3.197335356,0.900799101,3.549443326,0.000386047,0.000938284,0
8.0827436,5.84275154,2.669393102,2.188793976,0.028611818,0.047810119,0
975.66439,5.27514211,0.375571905,14.04562494,8.19E-45,6.23E-43,0
5.371348105,-6.209823464,0.549810036,-11.29448911,1.40E-29,4.69E-28,0
1700.348723,-2.552479801,0.347930987,-7.336166922,2.20E-13,1.89E-12,0
194.8328556,2.311654376,0.206402293,11.19975142,4.09E-29,1.33E-27,0
76.84164439,2.689103029,0.523894827,5.132906242,2.85E-07,1.14E-06,0
140.8282849,0.966059089,0.243146937,3.973149325,7.09E-05,0.000195615,0
287.7102593,1.527815108,0.290358033,5.261831722,1.43E-07,5.91E-07,0
63.78487922,4.040534068,0.932783585,4.331695085,1.48E-05,4.55E-05,0
10.43429424,-3.400276081,1.077667309,-3.155218732,0.001603778,0.003481512,0
666.9921559,-4.527775104,0.68535605,-6.60645675,3.94E-11,2.57E-10,0
1181.702885,0.874162146,0.208451866,4.193592324,2.75E-05,8.09E-05,0
32.47039875,-3.210282053,0.676995994,-4.741951326,2.12E-06,7.42E-06,0
134.0030578,-3.499481473,0.744189634,-4.702405563,2.57E-06,8.91E-06,0
112.5697788,3.824745294,0.897893832,4.259685455,2.05E-05,6.15E-05,0
90.95226907,-3.796553053,0.659606383,-5.755785797,8.62E-09,4.21E-08,0
14.97492105,-5.161974242,0.400263246,-12.89644825,4.71E-38,2.62E-36,0
70.13362577,3.442604485,0.736646114,4.673349144,2.96E-06,1.02E-05,0
1954.608216,1.520780228,0.320120852,4.750644067,2.03E-06,7.14E-06,0
34.07906587,1.643654159,0.356105347,4.615640215,3.92E-06,1.32E-05,0
26.52392546,1.168264765,0.255023546,4.581007452,4.63E-06,1.54E-05,0
69.05089022,-2.045397365,0.452823045,-4.516990443,6.27E-06,2.05E-05,0
18.85655773,2.337808035,0.563670837,4.147470267,3.36E-05,9.77E-05,0
50.91256636,-1.937802772,0.381321443,-5.081809074,3.74E-07,1.47E-06,0
375.2158616,1.549268681,0.335114374,4.623104231,3.78E-06,1.28E-05,0
101.1786905,-2.451601788,0.560710072,-4.372316301,1.23E-05,3.83E-05,0
58.64055687,6.950673923,0.828871001,8.385712512,5.04E-17,6.35E-16,0
619.9029446,1.367274614,0.198037476,6.904120594,5.05E-12,3.68E-11,0
1412.441327,0.857248083,0.213850228,4.008637681,6.11E-05,0.000170457,0
578.0323739,2.354247685,0.464763296,5.065476778,4.07E-07,1.59E-06,0
131.8029383,7.631140539,1.180070677,6.466680929,1.00E-10,6.21E-10,0
6.309359155,1.785418925,0.700668618,2.548164538,0.010829138,0.019903269,0
3079.801377,-1.716261962,0.267840026,-6.407787459,1.48E-10,8.96E-10,0
3442.112366,3.1699479,0.516772967,6.134120987,8.56E-10,4.73E-09,0
7.057525759,-2.387089444,0.835601388,-2.856732262,0.004280267,0.008552148,0
1430.211157,0.823839828,0.194008946,4.246401241,2.17E-05,6.51E-05,0
99.59047474,-3.784357185,0.667121811,-5.672662957,1.41E-08,6.66E-08,0
5.218053767,-6.130431299,0.57985484,-10.57235514,4.00E-26,1.05E-24,0
203.2851605,2.749426603,0.657351279,4.182583483,2.88E-05,8.46E-05,0
479.7403876,3.51871633,0.361880876,9.723410553,2.40E-22,4.73E-21,0
516.9456546,-1.714581219,0.462597129,-3.706424259,0.000210206,0.000535361,0
58.92629181,-1.70528335,0.627054422,-2.719514113,0.006537791,0.012584296,0
39.36823679,-3.556126241,0.624693224,-5.692596149,1.25E-08,5.97E-08,0
2389.670042,1.995495508,0.34468631,5.789308865,7.07E-09,3.48E-08,0
733.5428798,2.078271874,0.258762048,8.03159463,9.62E-16,1.07E-14,0
2245.320055,-4.482923081,0.407588492,-10.9986498,3.88E-28,1.17E-26,0
708.6728879,1.762362872,0.836273833,2.107399277,0.035082984,0.057288846,0
14.00301157,-3.451849782,0.47063832,-7.33440019,2.23E-13,1.91E-12,0
164.88846,6.341916985,1.099132969,5.769926991,7.93E-09,3.88E-08,0
97.34588268,0.855581992,0.179827169,4.7578016,1.96E-06,6.90E-06,0
486.109154,-1.463478255,0.528946458,-2.766779571,0.005661302,0.011036248,0
131.0320587,1.143226355,0.213465129,5.355564921,8.53E-08,3.64E-07,0
3645.155675,-1.799917128,0.219380273,-8.204553239,2.31E-16,2.75E-15,0
914.5500439,1.387533712,0.500124173,2.774378419,0.00553073,0.010804037,0
460.9122047,1.354137927,0.171032532,7.917429006,2.42E-15,2.59E-14,0
194.480131,5.255241041,0.916506361,5.733992978,9.81E-09,4.74E-08,0
396.0001481,1.358010683,0.29168289,4.655777657,3.23E-06,1.10E-05,0
433.6329507,-1.513092241,0.402873104,-3.755753922,0.00017282,0.000446714,0
4813.345415,0.963068813,0.223175601,4.315296149,1.59E-05,4.88E-05,0
4033.73309,-1.898832804,0.235620897,-8.058847198,7.70E-16,8.70E-15,0
98.3703398,1.610192823,0.62789486,2.564430647,0.010334523,0.019088109,0
88.80498833,2.60467578,0.719783622,3.618692758,0.000296095,0.000734128,0
578.7575793,1.608766363,0.245855245,6.54355111,6.01E-11,3.82E-10,0
1091.636371,8.340349172,0.442190595,18.86143501,2.37E-79,8.05E-77,0
575.5782192,-5.214801767,0.968206389,-5.386043537,7.20E-08,3.11E-07,0
